result_key,result_label,analysis_scope,metric,reference_estimate,reference_p,reference_significant,reference_direction,whole_estimate,whole_p,whole_significant,whole_direction,obligate_damselfish_estimate,obligate_damselfish_p,obligate_damselfish_significant,obligate_damselfish_direction,estimate_min,estimate_max,p_min,p_max,prop_ranked_sig,ranked_sig_values,ranked_directions,sensitive,sensitivity_class,sensitivity_interpretation,reference_details,whole_details,obligate_damselfish_details
cafi_pc1_treatment_SQRT_CS,Treatment effect on CAFI community PC1 (SQRT_CS),condition-subset coral-level CAFI PCA,LMM treatment LRT; PC1 aligned to condition PC1,-3.336968647981708,0.0018737483339007336,TRUE,negative,-3.5301000044406297,0.0072220357550754595,TRUE,negative,-1.8517802158238332,0.0066849242269559715,TRUE,negative,-3.771765003331383,-0.9503767106730793,9.83026929657903e-4,0.2586096937510818,0.9,FALSE/TRUE,negative,TRUE,significance-sensitive across top-N,Treatment effects on PC1 are robust if sign/significance remain stable after PC1 orientation is aligned to condition.,PC1 variance=0.138; PCA species used=38,PC1 variance=0.084; PCA species used=96,PC1 variance=0.136; PCA species used=26
cafi_pc1_condition_SQRT_CS,CAFI community PC1 predicts coral condition PC1 (SQRT_CS),condition-subset coral-level CAFI-condition link,LMM slope; PC1 aligned to condition PC1,0.3005605252118914,0.014363846699573402,TRUE,positive,0.15672127846734293,0.09366766522331531,FALSE,positive,0.2676096074970217,0.03391190630987612,TRUE,positive,0.16983498134318195,0.497143736554938,0.004661102498715055,0.08686179112987061,0.6,FALSE/TRUE,positive,TRUE,significance-sensitive and functional-subset sensitive,The CAFI-condition link is the key test for whether reduced matrices retain the feedback signal.,PC1 variance=0.138; PCA species used=38,PC1 variance=0.084; PCA species used=96,PC1 variance=0.136; PCA species used=26
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,PERMANOVA/adonis2,0.30614121043320736,0.001,TRUE,NA,0.29436257591284376,0.001,TRUE,NA,0.2800482797557577,0.001,TRUE,NA,0.2966940688839368,0.3459388026800097,0.001,0.001,1,TRUE,,FALSE,not sensitive in tested scenarios,"Community-composition treatment effects are generally robust, but metric and functional subset can change strength.",NA,NA,NA
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,PERMANOVA/adonis2,0.49736698783213934,0.001,TRUE,NA,0.42568730014263,0.001,TRUE,NA,0.45276086196558335,0.001,TRUE,NA,0.43781865233041484,0.5767974685811528,0.001,0.002,1,TRUE,,FALSE,not sensitive in tested scenarios,"Community-composition treatment effects are generally robust, but metric and functional subset can change strength.",NA,NA,NA
cafi_pc1_treatment_HELLINGER,Treatment effect on CAFI community PC1 (HELLINGER),condition-subset coral-level CAFI PCA,LMM treatment LRT; PC1 aligned to condition PC1,-3.4133845505116827,0.0011042643900296795,TRUE,negative,-3.4132439944263733,0.02604851465128345,TRUE,negative,-2.0108671961005973,0.0032656768316826363,TRUE,negative,-3.8086020041192272,-1.6460026238848537,7.58426284213717e-4,0.04553162457395855,1,TRUE,negative,FALSE,not sensitive in tested scenarios,Treatment effects on PC1 are robust if sign/significance remain stable after PC1 orientation is aligned to condition.,PC1 variance=0.147; PCA species used=38,PC1 variance=0.090; PCA species used=96,PC1 variance=0.128; PCA species used=26
cafi_pc1_treatment_SQRT,Treatment effect on CAFI community PC1 (SQRT),condition-subset coral-level CAFI PCA,LMM treatment LRT; PC1 aligned to condition PC1,-0.9622838804911416,0.6221650995768181,FALSE,negative,-0.9403096622888958,0.6318498731311676,FALSE,negative,-2.186038898690059,0.10601777835443947,FALSE,negative,-1.3615056489986603,-0.9404526456020683,0.4274314346764199,0.6320387688717751,0,FALSE,negative,FALSE,not sensitive in tested scenarios,Treatment effects on PC1 are robust if sign/significance remain stable after PC1 orientation is aligned to condition.,PC1 variance=0.742; PCA species used=38,PC1 variance=0.718; PCA species used=96,PC1 variance=0.793; PCA species used=26
species_condition_Harpiliopsis.spinigera,Harpiliopsis spinigera abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,0.4545990052723649,0.14732350735077587,FALSE,positive,0.4545990052723649,0.14732350735077587,FALSE,positive,0.4545990052723649,0.14732350735077587,FALSE,positive,0.4545990052723649,0.4545990052723649,0.14732350735077587,0.14732350735077587,0,FALSE,positive,FALSE,not sensitive in tested scenarios,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.560,BH p=0.744,BH p=0.479
species_condition_Trapezia.serenei,Trapezia serenei abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,-0.023161394281729055,0.9622448410655704,FALSE,negative,-0.023161394281729055,0.9622448410655704,FALSE,negative,-0.023161394281729055,0.9622448410655704,FALSE,negative,-0.023161394281729055,-0.023161394281729055,0.9622448410655704,0.9622448410655704,0,FALSE,negative,FALSE,not sensitive in tested scenarios,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.962,BH p=0.992,BH p=0.981
total_abundance_scaling_t6,Total CAFI abundance in 6-coral reefs vs proportional expectation,full CAFI reef-level abundance,percent deviation from 6 x mean single-coral reef,-10.890557939914174,NA,FALSE,Proportional,-8.832644628099173,NA,FALSE,Proportional,-40.9054805401112,NA,FALSE,Proportional,-30.8,-9.010875194199897,NA,NA,0,FALSE,Proportional,FALSE,not sensitive in tested scenarios,Total abundance remains close to proportional unless the set is restricted to selected functional taxa; use whole-community scaling for Field-of-Dreams claims.,obs=553.67; expected=621.33; bootstrap class=Proportional,obs=588.33; expected=645.33; bootstrap class=Proportional,obs=248.00; expected=419.67; bootstrap class=Proportional
coral_condition_pc1_treatment,Treatment effect on coral condition PC1,coral-only physiology/condition model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not species-set dependent,"This result does not use a CAFI species matrix, so changing the number or identity of CAFI taxa cannot alter the analysis.",NA,NA,NA
coral_growth_allometric_treatment,Treatment effects on coral growth allometry,coral-only growth model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not species-set dependent,"This result does not use a CAFI species matrix, so changing the number or identity of CAFI taxa cannot alter the analysis.",NA,NA,NA
coral_growth_size_corrected_treatment,Treatment effect on size-corrected coral growth,coral-only growth model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not species-set dependent,"This result does not use a CAFI species matrix, so changing the number or identity of CAFI taxa cannot alter the analysis.",NA,NA,NA
individual_physiology_trait_treatment,Treatment effects on individual coral physiology traits,coral-only physiology model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not species-set dependent,"This result does not use a CAFI species matrix, so changing the number or identity of CAFI taxa cannot alter the analysis.",NA,NA,NA
