iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
48,Bootstrap,Jaccard (incidence),2,1.784699922689453,0.22925738184046485,0.048,15,3
48,Bootstrap,Gower (sqrt→z),2,7.66966740384075,0.5610719834840907,0.001,15,3
48,Bootstrap,Gower (prop→z),2,2.091154989754902,0.2584495034890251,0.009,15,3
49,Bootstrap,Jaccard (incidence),2,2.08197942779675,0.20650502638961768,0.028,19,3
49,Bootstrap,Gower (sqrt→z),2,8.070224354637563,0.5021849214139099,0.001,19,3
49,Bootstrap,Gower (prop→z),2,1.7842852790166126,0.18236235229600187,0.041,19,3
50,Bootstrap,Jaccard (incidence),2,1.3466436317944965,0.15222085209295774,0.186,18,3
50,Bootstrap,Gower (sqrt→z),2,8.151513091458211,0.5208131024665523,0.001,18,3
50,Bootstrap,Gower (prop→z),2,1.5120304922939727,0.16777911410606997,0.102,18,3
51,Bootstrap,Jaccard (incidence),2,2.48809619316325,0.21658037601077504,0.005,21,3
51,Bootstrap,Gower (sqrt→z),2,11.093581262800695,0.5520957721627391,0.001,21,3
51,Bootstrap,Gower (prop→z),2,2.4768952480791344,0.21581579290737943,0.003,21,3
52,Bootstrap,Jaccard (incidence),2,2.293160875971275,0.21246425419976087,0.019,20,3
52,Bootstrap,Gower (sqrt→z),2,8.552815607995974,0.5015485890778999,0.001,20,3
52,Bootstrap,Gower (prop→z),2,1.8276151197380028,0.17696390682153604,0.038,20,3
53,Bootstrap,Jaccard (incidence),2,1.7254005192981459,0.197744563757508,0.092,17,3
53,Bootstrap,Gower (sqrt→z),2,6.509103406069396,0.48183089657489586,0.001,17,3
53,Bootstrap,Gower (prop→z),2,1.399690722606479,0.1666359832558389,0.148,17,3
54,Bootstrap,Jaccard (incidence),2,2.4246600023351936,0.2716809381758819,0.015,16,3
54,Bootstrap,Gower (sqrt→z),2,7.892921090667801,0.548389103292276,0.001,16,3
54,Bootstrap,Gower (prop→z),2,2.0722345125558226,0.24173796336539835,0.018,16,3
55,Bootstrap,Jaccard (incidence),2,1.330121986086233,0.15063461050505622,0.186,18,3
55,Bootstrap,Gower (sqrt→z),2,6.755356134743886,0.4738819620422798,0.001,18,3
55,Bootstrap,Gower (prop→z),2,1.4547024285018229,0.16245123052572538,0.107,18,3
56,Bootstrap,Jaccard (incidence),2,1.760493103331258,0.20095822033828376,0.067,17,3
56,Bootstrap,Gower (sqrt→z),2,8.072114342762728,0.5355661560940034,0.001,17,3
56,Bootstrap,Gower (prop→z),2,1.6889637652253087,0.194380343946746,0.071,17,3
57,Bootstrap,Jaccard (incidence),2,2.2286735115359755,0.2178849006200521,0.007,19,3
57,Bootstrap,Gower (sqrt→z),2,9.084861125093223,0.5317491935447998,0.001,19,3
57,Bootstrap,Gower (prop→z),2,2.4380130577557764,0.23357060814790376,0.002,19,3
58,Bootstrap,Jaccard (incidence),2,2.0937177409563663,0.21823841366711405,0.025,18,3
58,Bootstrap,Gower (sqrt→z),2,9.266206372778331,0.5526716161518191,0.001,18,3
58,Bootstrap,Gower (prop→z),2,2.2275421209142428,0.2289933153951625,0.004,18,3
59,Bootstrap,Jaccard (incidence),2,1.60125925027258,0.16677596224965183,0.076,19,3
59,Bootstrap,Gower (sqrt→z),2,8.538010738481029,0.5162658843009812,0.001,19,3
59,Bootstrap,Gower (prop→z),2,1.5020612794962322,0.15807741450135823,0.098,19,3
60,Bootstrap,Jaccard (incidence),2,1.5151923917400267,0.1680709990314005,0.127,18,3
60,Bootstrap,Gower (sqrt→z),2,7.540745029016778,0.5013544883893108,0.001,18,3
60,Bootstrap,Gower (prop→z),2,1.5222372997350384,0.16872060101763695,0.079,18,3
61,Bootstrap,Jaccard (incidence),2,2.818774495049358,0.2605447129283656,0.002,19,3
61,Bootstrap,Gower (sqrt→z),2,9.80803563123096,0.5507646005621222,0.001,19,3
61,Bootstrap,Gower (prop→z),2,2.4454720173918485,0.2341179042287515,0.002,19,3
62,Bootstrap,Jaccard (incidence),2,1.3414562963660692,0.16081799732625476,0.193,17,3
62,Bootstrap,Gower (sqrt→z),2,6.857115821951657,0.49484437526956365,0.001,17,3
62,Bootstrap,Gower (prop→z),2,1.292212795103294,0.15583449521053894,0.193,17,3
63,Bootstrap,Jaccard (incidence),2,1.7621193104973918,0.18050581584293396,0.068,19,3
63,Bootstrap,Gower (sqrt→z),2,8.10952378783958,0.5033993490211752,0.001,19,3
63,Bootstrap,Gower (prop→z),2,1.5590587304153205,0.16309751560105573,0.103,19,3
64,Bootstrap,Jaccard (incidence),2,2.375208350624173,0.25334992693426794,0.01,17,3
64,Bootstrap,Gower (sqrt→z),2,9.243339870201556,0.5690541442870677,0.001,17,3
64,Bootstrap,Gower (prop→z),2,2.5232641372299702,0.26495790738026415,0.004,17,3
65,Bootstrap,Jaccard (incidence),2,2.181664575530034,0.21427386056041448,0.02,19,3
65,Bootstrap,Gower (sqrt→z),2,8.316856982398523,0.5097094980589806,0.001,19,3
65,Bootstrap,Gower (prop→z),2,1.774560691742908,0.18154889490245574,0.061,19,3
66,Bootstrap,Jaccard (incidence),2,2.80989103918639,0.3018178222880632,0.009,16,3
66,Bootstrap,Gower (sqrt→z),2,7.926965081688854,0.5494547908589591,0.001,16,3
66,Bootstrap,Gower (prop→z),2,2.608306738357131,0.2863657113536772,0.002,16,3
67,Bootstrap,Jaccard (incidence),2,1.1365114896584418,0.1592530876332739,0.326,15,3
67,Bootstrap,Gower (sqrt→z),2,3.9379344351284584,0.3962528089548175,0.002,15,3
67,Bootstrap,Gower (prop→z),2,0.9938372764271816,0.14210185870021927,0.47,15,3
68,Bootstrap,Jaccard (incidence),2,1.9448531713425043,0.18620205946777582,0.032,20,3
68,Bootstrap,Gower (sqrt→z),2,8.195137195214013,0.49086971250307004,0.001,20,3
68,Bootstrap,Gower (prop→z),2,1.4688105668962206,0.14734060367981625,0.1,20,3
69,Bootstrap,Jaccard (incidence),2,2.0554831075019178,0.21511032821440265,0.019,18,3
69,Bootstrap,Gower (sqrt→z),2,8.988562151297025,0.5451392346293801,0.001,18,3
69,Bootstrap,Gower (prop→z),2,2.1358365500020313,0.22165553960144552,0.011,18,3
70,Bootstrap,Jaccard (incidence),2,2.028685185021673,0.21290294994849893,0.033,18,3
70,Bootstrap,Gower (sqrt→z),2,8.79508293746538,0.53973845798869,0.001,18,3
70,Bootstrap,Gower (prop→z),2,2.4533667127395424,0.24648611706423132,0.003,18,3
71,Bootstrap,Jaccard (incidence),2,2.250937024037204,0.2728098660163831,0.02,15,3
71,Bootstrap,Gower (sqrt→z),2,8.254365233508505,0.5790763108906823,0.001,15,3
71,Bootstrap,Gower (prop→z),2,2.1296198364622865,0.2619581086572702,0.014,15,3
72,Bootstrap,Jaccard (incidence),2,1.889119836138897,0.21252045995134883,0.048,17,3
72,Bootstrap,Gower (sqrt→z),2,7.6369800630870746,0.5217592720746225,0.001,17,3
