iter,label,metric,df,F,R2,p,n_units,n_trt_lvls,n_each
11,N-sens (n=2/trt),Gower (prop→z),2,2.5221522588176732,0.6270653362981016,0.13333333333333333,6,3,2
12,N-sens (n=2/trt),Jaccard (incidence),2,1.8938965754086612,0.5580301383169333,0.13333333333333333,6,3,2
12,N-sens (n=2/trt),Gower (sqrt→z),2,4.469667234874883,0.7487297128997447,0.06666666666666667,6,3,2
12,N-sens (n=2/trt),Gower (prop→z),2,1.5184376974794194,0.5030541789043412,0.13333333333333333,6,3,2
13,N-sens (n=2/trt),Jaccard (incidence),2,2.5430498770988894,0.6289929519552866,0.13333333333333333,6,3,2
13,N-sens (n=2/trt),Gower (sqrt→z),2,3.448089257488964,0.6968526795005283,0.06666666666666667,6,3,2
13,N-sens (n=2/trt),Gower (prop→z),2,1.6632329502452292,0.5258016012119142,0.13333333333333333,6,3,2
14,N-sens (n=2/trt),Jaccard (incidence),2,1.8628595481542793,0.5539510412133383,0.26666666666666666,6,3,2
14,N-sens (n=2/trt),Gower (sqrt→z),2,2.891375453793664,0.6584213725783421,0.06666666666666667,6,3,2
14,N-sens (n=2/trt),Gower (prop→z),2,1.9200185631906395,0.5614058893877453,0.13333333333333333,6,3,2
15,N-sens (n=2/trt),Jaccard (incidence),2,1.2110761640714784,0.44671417945436515,0.3333333333333333,6,3,2
15,N-sens (n=2/trt),Gower (sqrt→z),2,3.0564852355181427,0.6707988893923352,0.06666666666666667,6,3,2
15,N-sens (n=2/trt),Gower (prop→z),2,1.5400687653614389,0.5065901083912941,0.2,6,3,2
16,N-sens (n=2/trt),Jaccard (incidence),2,0.6904258987677603,0.31520166884265033,0.6666666666666666,6,3,2
16,N-sens (n=2/trt),Gower (sqrt→z),2,1.7306678890709337,0.535699721697062,0.2,6,3,2
16,N-sens (n=2/trt),Gower (prop→z),2,0.6957851646258225,0.3168730601859173,0.7333333333333333,6,3,2
17,N-sens (n=2/trt),Jaccard (incidence),2,1.016269559615637,0.40387944754649946,0.4666666666666667,6,3,2
17,N-sens (n=2/trt),Gower (sqrt→z),2,2.2289212349107563,0.5977388886746224,0.06666666666666667,6,3,2
17,N-sens (n=2/trt),Gower (prop→z),2,1.0542954306307677,0.4127539117001888,0.4,6,3,2
18,N-sens (n=2/trt),Jaccard (incidence),2,0.9966354523670988,0.3991914203662265,0.4,6,3,2
18,N-sens (n=2/trt),Gower (sqrt→z),2,3.6880359543550845,0.7108732450589845,0.2,6,3,2
18,N-sens (n=2/trt),Gower (prop→z),2,1.6220297516861641,0.519543335809061,0.26666666666666666,6,3,2
19,N-sens (n=2/trt),Jaccard (incidence),2,4.708263272764289,0.758386535155409,0.06666666666666667,6,3,2
