iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
30,Rarefied,Gower (sqrt→z),2,6.2743672923661125,0.6765277991017943,0.005,9,3
30,Rarefied,Gower (prop→z),2,3.123430093026773,0.5100785091975928,0.007,9,3
31,Rarefied,Jaccard (incidence),2,1.7046278565683508,0.362330009628379,0.147,9,3
31,Rarefied,Gower (sqrt→z),2,4.3005040812305815,0.5890694715570495,0.007,9,3
31,Rarefied,Gower (prop→z),2,1.784762005105549,0.3730095672890586,0.057,9,3
32,Rarefied,Jaccard (incidence),2,3.544587382210401,0.5416059371207045,0.014,9,3
32,Rarefied,Gower (sqrt→z),2,6.748594710777193,0.6922633375369003,0.001,9,3
32,Rarefied,Gower (prop→z),2,2.61331375646558,0.4655563308670371,0.004,9,3
33,Rarefied,Jaccard (incidence),2,1.7678912235946955,0.37079101445225815,0.123,9,3
33,Rarefied,Gower (sqrt→z),2,5.550374515166064,0.6491381757981705,0.017,9,3
33,Rarefied,Gower (prop→z),2,2.2591487797168743,0.42956548185702703,0.019,9,3
34,Rarefied,Jaccard (incidence),2,3.6182777554916474,0.546709867607069,0.008,9,3
34,Rarefied,Gower (sqrt→z),2,5.612850602805769,0.651683265117509,0.006,9,3
34,Rarefied,Gower (prop→z),2,1.875163655623699,0.38463604261994816,0.041,9,3
35,Rarefied,Jaccard (incidence),2,1.568914134191777,0.3433888420994176,0.159,9,3
35,Rarefied,Gower (sqrt→z),2,5.730764776128103,0.656387489879159,0.008,9,3
35,Rarefied,Gower (prop→z),2,1.7632963900133123,0.37018405860912307,0.047,9,3
36,Rarefied,Jaccard (incidence),2,0.9729411400202073,0.24489190897382848,0.427,9,3
36,Rarefied,Gower (sqrt→z),2,3.84678975528002,0.5618384517084816,0.024,9,3
36,Rarefied,Gower (prop→z),2,0.9282998782679465,0.2363108487219793,0.586,9,3
37,Rarefied,Jaccard (incidence),2,1.7388089464171586,0.36692953146630003,0.115,9,3
37,Rarefied,Gower (sqrt→z),2,6.11151479205002,0.6707462953780682,0.004,9,3
37,Rarefied,Gower (prop→z),2,2.1474007439028173,0.4171815739130958,0.019,9,3
38,Rarefied,Jaccard (incidence),2,2.274446674334108,0.4312199581809695,0.017,9,3
38,Rarefied,Gower (sqrt→z),2,4.872393606673388,0.6189214932727809,0.005,9,3
38,Rarefied,Gower (prop→z),2,2.008341125794329,0.4009992680911493,0.009,9,3
39,Rarefied,Jaccard (incidence),2,2.643234665046141,0.468389996506468,0.009,9,3
39,Rarefied,Gower (sqrt→z),2,6.598842725833329,0.6874623237730407,0.002,9,3
39,Rarefied,Gower (prop→z),2,2.1419270934656325,0.4165611558723958,0.023,9,3
