transform,species_clean,species_original,species_label,order,metric,n,r,p_value,p_BH,Effect,norm_name
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,protein_mg_cm2,44,-0.24995128823823137,0.10176655746133778,0.764026758442577,Negative,diala albugo
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,zoox_cells_cm2,44,0.07996875509329991,0.6058477534138833,0.8897294631367394,Positive,diala albugo
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,afdw_mg_cm2,44,-0.06593183879489391,0.6706798136135119,0.9037529403302642,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,carb_mg_cm2,44,-0.15608282439438786,0.3116582896368171,0.8020910702812067,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,growth_vol_b,44,0.02482245255540921,0.8729299486522191,0.9768909486244352,Positive,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,protein_mg_cm2,44,-0.1769181607940814,0.2506185468857983,0.7877518325587761,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,zoox_cells_cm2,44,0.0048631289720188625,0.9750064939853618,0.9805893799645959,Positive,diala semistriata
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,afdw_mg_cm2,44,0.22262866386388339,0.14635178860442105,0.764026758442577,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,carb_mg_cm2,44,0.3347907257791374,0.02632677641863177,0.6605704082354257,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,growth_vol_b,44,0.16053876613359708,0.29787171911412896,0.8020910702812067,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,protein_mg_cm2,44,0.3620728443024214,0.015728546111250477,0.6605704082354257,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,zoox_cells_cm2,44,0.15616624217273767,0.3113965327902856,0.8020910702812067,Positive,fennera chacei
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,afdw_mg_cm2,44,-0.06850123943120369,0.6586162560238316,0.9002668247807769,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,carb_mg_cm2,44,-0.0418291286292844,0.7874731482973106,0.9484606585257226,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,growth_vol_b,44,-0.013009551218167903,0.9332037084397105,0.9788438109037493,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,protein_mg_cm2,44,0.01586973453739339,0.9185631840286397,0.9788438109037493,Positive,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,zoox_cells_cm2,44,-0.11013804519568128,0.47664386149884874,0.8897294631367394,Negative,galathea mauritiana
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,afdw_mg_cm2,44,0.007002645745076649,0.9640167769632983,0.9805893799645959,Positive,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,carb_mg_cm2,44,-0.1881822767729806,0.22122040349205724,0.7674695299352391,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,growth_vol_b,44,-0.07133006676486978,0.6454331087071139,0.8951262091558514,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,protein_mg_cm2,44,-0.20882471642616998,0.1737154660865542,0.764026758442577,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,zoox_cells_cm2,44,0.2724842175557817,0.07354181341035561,0.735418134103556,Positive,galeropsis monodonta
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,afdw_mg_cm2,44,0.08460330995859859,0.5850525007657696,0.8897294631367394,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,carb_mg_cm2,44,0.08614503433866053,0.5782063850822605,0.8897294631367394,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,growth_vol_b,44,0.04658098784163972,0.7639855461700064,0.9477200653206272,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,protein_mg_cm2,44,0.05123044607069617,0.7412047744233206,0.9373501055927501,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,zoox_cells_cm2,44,0.15947322995355165,0.3011321609709722,0.8020910702812067,Positive,halichoeres trimaculatus
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,afdw_mg_cm2,44,0.014773247866861794,0.9241729290658203,0.9788438109037493,Positive,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,carb_mg_cm2,44,-0.22478247636880158,0.1423866402817187,0.764026758442577,Negative,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,growth_vol_b,44,0.14168116248017934,0.358938043281238,0.8020910702812067,Positive,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,protein_mg_cm2,44,-0.21279436932704965,0.16549503178253444,0.764026758442577,Negative,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,zoox_cells_cm2,44,-0.07427783207374895,0.6318090514571775,0.8935646459240517,Negative,hargeria rapax
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,afdw_mg_cm2,44,0.11435838731178334,0.4598099039619119,0.8897294631367394,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,carb_mg_cm2,44,-0.04314411314526931,0.780953770400811,0.9484606585257226,Negative,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,growth_vol_b,44,0.2384989633320884,0.11897906640549295,0.764026758442577,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,protein_mg_cm2,44,-0.08705207694183079,0.5741956546663791,0.8897294631367394,Negative,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,zoox_cells_cm2,44,0.2513783544476886,0.09976315806119507,0.764026758442577,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,afdw_mg_cm2,44,0.08218166476394949,0.5958785970195168,0.8897294631367394,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,carb_mg_cm2,44,0.19938991674462933,0.19442405534931695,0.7674695299352391,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,growth_vol_b,44,0.3243226131225705,0.031728715208871994,0.6605704082354257,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,protein_mg_cm2,44,0.18819428912296504,0.2211903828860542,0.7674695299352391,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,zoox_cells_cm2,44,0.057169515122400046,0.7124227094183532,0.9134939005544624,Positive,harpiliopsis spinigera
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,afdw_mg_cm2,44,-0.23462097796289974,0.1252799679775562,0.764026758442577,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,carb_mg_cm2,44,-0.2628050081147262,0.08479689772064761,0.764026758442577,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,growth_vol_b,44,-0.15667922379154495,0.30978991925066884,0.8020910702812067,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,protein_mg_cm2,44,-0.28760339064118384,0.058352899154735474,0.6605704082354257,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,zoox_cells_cm2,44,-0.14173182062407003,0.35876448909177094,0.8020910702812067,Negative,luniella pugil
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,afdw_mg_cm2,44,-0.1321910923120326,0.39234302090058315,0.8375862243945034,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,carb_mg_cm2,44,-0.214479527341173,0.16209204675602712,0.764026758442577,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,growth_vol_b,44,-0.1806328979373647,0.24064681829952936,0.7749643301171284,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,protein_mg_cm2,44,-0.12181803535246584,0.4308562330872928,0.8897294631367394,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,zoox_cells_cm2,44,-0.03143136700696953,0.8394946674326133,0.9692706218002987,Negative,macteola interrupta
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,afdw_mg_cm2,44,-0.22773645878388057,0.13707841690035028,0.764026758442577,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,carb_mg_cm2,44,-0.2582381607627275,0.09055316230137307,0.764026758442577,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,growth_vol_b,44,0.09360830458063951,0.5455902098349144,0.8897294631367394,Positive,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,protein_mg_cm2,44,-0.28310771058032663,0.06258035446440875,0.6605704082354257,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,zoox_cells_cm2,44,0.10110400188740072,0.513744835330318,0.8897294631367394,Positive,menaethius monoceros
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,afdw_mg_cm2,44,-0.2241757539560027,0.14349547748575292,0.764026758442577,Negative,mitrella moleculina
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,carb_mg_cm2,44,-0.19341617839875166,0.20840562683286304,0.7674695299352391,Negative,mitrella moleculina
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,growth_vol_b,44,-0.08855580086314055,0.5675746605224031,0.8897294631367394,Negative,mitrella moleculina
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,protein_mg_cm2,44,-0.17607874472906196,0.2529097988741334,0.7877518325587761,Negative,mitrella moleculina
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,zoox_cells_cm2,44,-0.19209104129848478,0.21159994607775195,0.7674695299352391,Negative,mitrella moleculina
raw,Morula_zebrina,Morula zebrina,italic(Morula zebrina),Other,afdw_mg_cm2,44,0.0071887876676305,0.9630609336724627,0.9805893799645959,Positive,morula zebrina
raw,Morula_zebrina,Morula zebrina,italic(Morula zebrina),Other,carb_mg_cm2,44,-0.09304030170380731,0.5480412463327753,0.8897294631367394,Negative,morula zebrina
raw,Morula_zebrina,Morula zebrina,italic(Morula zebrina),Other,growth_vol_b,44,-0.20543990007501714,0.1809537059469261,0.764026758442577,Negative,morula zebrina
raw,Morula_zebrina,Morula zebrina,italic(Morula zebrina),Other,protein_mg_cm2,44,0.059730498049644705,0.7001297316201016,0.9053807017178195,Positive,morula zebrina
raw,Morula_zebrina,Morula zebrina,italic(Morula zebrina),Other,zoox_cells_cm2,44,-0.09788859147616337,0.5272903987414757,0.8897294631367394,Negative,morula zebrina
raw,Paragobiodon_modestus,Paragobiodon modestus,italic(Paragobiodon modestus),Other,afdw_mg_cm2,44,0.004781014337919822,0.9754283832279401,0.9805893799645959,Positive,paragobiodon modestus
raw,Paragobiodon_modestus,Paragobiodon modestus,italic(Paragobiodon modestus),Other,carb_mg_cm2,44,0.02017656906790742,0.8965692531494964,0.9769281001303864,Positive,paragobiodon modestus
raw,Paragobiodon_modestus,Paragobiodon modestus,italic(Paragobiodon modestus),Other,growth_vol_b,44,-0.15320246630331083,0.3207822733939465,0.8020910702812067,Negative,paragobiodon modestus
raw,Paragobiodon_modestus,Paragobiodon modestus,italic(Paragobiodon modestus),Other,protein_mg_cm2,44,0.031067996968370412,0.8413263179025766,0.9692706218002987,Positive,paragobiodon modestus
raw,Paragobiodon_modestus,Paragobiodon modestus,italic(Paragobiodon modestus),Other,zoox_cells_cm2,44,-0.09541135909500831,0.5378446059083659,0.8897294631367394,Negative,paragobiodon modestus
raw,Pascula_muricata,Pascula muricata,italic(Pascula muricata),Other,afdw_mg_cm2,44,-0.22770678315714404,0.13713100111286902,0.764026758442577,Negative,pascula muricata
raw,Pascula_muricata,Pascula muricata,italic(Pascula muricata),Other,carb_mg_cm2,44,-0.09705435544070366,0.5308332429071061,0.8897294631367394,Negative,pascula muricata
raw,Pascula_muricata,Pascula muricata,italic(Pascula muricata),Other,growth_vol_b,44,0.14241068684116157,0.35644361067000563,0.8020910702812067,Positive,pascula muricata
raw,Pascula_muricata,Pascula muricata,italic(Pascula muricata),Other,protein_mg_cm2,44,-0.07362545504662849,0.6348140628590876,0.8935646459240517,Negative,pascula muricata
raw,Pascula_muricata,Pascula muricata,italic(Pascula muricata),Other,zoox_cells_cm2,44,-0.14675243190414178,0.3418168346206806,0.8020910702812067,Negative,pascula muricata
raw,Periclimenes_watamuae,Periclimenes watamuae,italic(Periclimenes watamuae),Other,afdw_mg_cm2,44,0.10148663224907896,0.5121446319911511,0.8897294631367394,Positive,periclimenes watamuae
raw,Periclimenes_watamuae,Periclimenes watamuae,italic(Periclimenes watamuae),Other,carb_mg_cm2,44,0.32521321156857047,0.03123608449790892,0.6605704082354257,Positive,periclimenes watamuae
raw,Periclimenes_watamuae,Periclimenes watamuae,italic(Periclimenes watamuae),Other,growth_vol_b,44,0.05046379597693197,0.7449466628658172,0.9373501055927501,Positive,periclimenes watamuae
raw,Periclimenes_watamuae,Periclimenes watamuae,italic(Periclimenes watamuae),Other,protein_mg_cm2,44,0.10693438011672571,0.4896364199406139,0.8897294631367394,Positive,periclimenes watamuae
