coral_id,position,treatment,branch_width,size_class,length_june,width_june,height_june,volume_est_june,percent_alive_dec,length_dec,width_dec,height_dec,volume_est_dec,length_may21,width_may21,height_may21,percent_alive_may21,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2,surface_area_cm2_dec2019,height_mean_cm_dec2019,volume_cm3_dec2019,extent_volume_cm3_dec2019,surface_area_cm2_may2021,height_mean_cm_may2021,volume_cm3_may2021,extent_volume_cm3_may2021,cafi_abundance,cafi_richness,fish_abundance,fish_richness
FE-POC28,1-11,CAFI,tight,5,7,5,5,91.62978573,0,NA,NA,NA,NA,NA,NA,NA,0,0.00406755249833526,0.0011476463200429,2256.38937499959,0.131622713541643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
FE-POC13,1-12,CAFI,tight,20,22,22,16,4054.748918,99,22,20,16,3686.13538,28,25,13,100,0.00430621761676097,7.6501065991192e-4,2738.16185941589,0.11430901395936476,1402.429423,14.0088601,2364.918655,7425.379263,1969.45119,16.29108973,3894.693758,11635.78326,128,26,16,1
FE-POC18,1-13,empty,tight,17,14,13,10,952.9497716,100,15,13,9,918.9158512,19,17,11,100,0.00597475386930583,7.156214959360399e-4,3817.541024503245,0.0936715337117335,736.1512907,11.90450534,848.0116672,2625.721956,1010.610234,14.03951774,1501.726994,4670.971535,121,24,4,1
FE-POC56,1-14,CAFI,tight,35,31,29,23,10826.45188,100,33,30,22,11403.98133,49,38,29,100,0.009179959026605745,0.001121327462144255,5568.739544997725,0.08360415891351536,5070.040337,24.58704847,7361.500703,27539.21823,6734.388232,31.86998615,16181.84986,55435.7701,300,23,222,1
FE-POC46,1-15,CAFI,wide,26,27,22,17,5287.300436,90,25,25,20,6544.984695,32,28,19,95,0.005206128409114221,0.001032670030623085,5252.470561164085,0.09879481001630286,2555.248433,19.79576402,2888.886923,13963.73104,4448.5951,23.23379677,6061.47245,23834.24544,135,15,212,1
FE-POC05,2-1,CAFI,tight,11,10,10,6,314.1592654,100,11,10,7,403.1710572,11,11,6,90,0.00700527232386672,0.00108511248785721,4461.836031984235,0.193357815406428,204.1189515,6.50508136,206.2884949,544.0618921,378.3082509,7.563554911,350.3800359,943.9025642,73,11,5,1
FE-POC22,2-2,empty,wide,14,18,17,11,1762.433479,100,18,16,11,1658.760921,20,21,13,100,0.0056409836527743645,0.001111621553681365,6975.437858721874,0.1061105658581834,1119.063041,12.8453403,1086.994978,3853.137527,1705.224642,14.899069860000001,1777.300142,6555.570098,114,17,38,1
FE-POC20,2-3,CAFI,wide,41,47,37,27,24584.53331,90,46,41,34,33575.24789,54,43,20,100,0.004727605459092199,0.0024847357900510646,6962.16481035045,0.08886110982710571,8615.845838,33.35817743,16583.11121,66627.57852,12643.57886,37.80143689,24901.30542,104025.8057,347,26,71,1
FE-POC52,2-4,CAFI,wide,11,11,12,8,552.920307,100,14,12,9,791.6813487,17,13,12,100,0.00656332173414791,0.0010060043749665101,4125.84899563125,0.1147299708724705,449.2507967,9.500270844,387.8736365,1488.588383,944.83831,12.26689272,877.7437628,3483.989245,59,19,NA,NA
FE-POC35,2-5,CAFI,tight,17,15,12,11,1036.725576,100,15,12,11,1036.725576,19,13,11,100,0.00551870466707627,6.88429963054445e-4,3525.240862967435,0.0772416012335006,643.2979534,11.90865379,799.2149963,2347.931599,1305.590954,14.26070668,1555.678929,4387.074515,74,19,4,1
