species,treatment,observed_mean,observed_sd,n,lower_obs,upper_obs,expected_median_3,expected_lower_3,expected_upper_3,expected_median_6,expected_lower_6,expected_upper_6,expected_median,expected_lower,expected_upper,direction,diff,sig
Diala semistriata,3,2.333333333333333,2.9439202887759492,6,-0.02229349996980723,4.688960166636473,2,0,8,5,0,13,2,0,8,Proportional,0.33333333333333304,FALSE
Diala semistriata,6,9.333333333333334,7.767453465154029,3,0.5436322892451759,18.12303437742149,2,0,8,5,0,13,5,0,13,Proportional,4.333333333333334,FALSE
Fennera chacei,3,51.83333333333333,45.393465021593876,6,15.510996526471473,88.15567014019518,99,15,201,204,76,344,99,15,201,Proportional,-47.16666666666667,FALSE
Fennera chacei,6,97.33333333333333,100.3211509769168,3,-16.190735969661233,210.8574026363279,99,15,201,204,76,344,204,76,344,Proportional,-106.66666666666667,FALSE
Galathea mauritiana,3,5.833333333333334,6.047037842337906,6,0.9946953247840487,10.67197134188262,4,0,38,9,0,69,4,0,38,Proportional,1.833333333333334,FALSE
Galathea mauritiana,6,14.666666666666666,7.505553499465135,3,6.173333333333332,23.16,4,0,38,9,0,69,9,0,69,Proportional,5.666666666666666,FALSE
Galeropsis monodonta,3,64,47.43838108536167,6,26.041389558274567,101.95861044172543,47,18,92,97,49,158,47,18,92,Proportional,17,FALSE
Galeropsis monodonta,6,116.66666666666667,15.50268793897798,3,99.12372379939254,134.2096095339408,47,18,92,97,49,158,97,49,158,Proportional,19.66666666666667,FALSE
Hargeria rapax,3,3.166666666666667,4.070217029430577,6,-0.09018525573392733,6.423518589067261,4,0,9,7,0,15,4,0,9,Proportional,-0.833333333333333,FALSE
Hargeria rapax,6,9,6.244997998398398,3,1.933119500090581,16.06688049990942,4,0,9,7,0,15,7,0,15,Proportional,2,FALSE
Harpiliopsis beaupresii,3,3,3.03315017762062,6,0.5729743855217899,5.42702561447821,1,0,7,2,0,10,1,0,7,Proportional,2,FALSE
Harpiliopsis beaupresii,6,0.33333333333333337,0.5773502691896258,3,-0.32000000000000006,0.9866666666666668,1,0,7,2,0,10,2,0,10,Proportional,-1.6666666666666665,FALSE
Harpiliopsis spinigera,3,16,7.429670248402684,6,10.055025651863584,21.944974348136416,16,7,31,32,17,53,16,7,31,Proportional,0,FALSE
Harpiliopsis spinigera,6,23.666666666666668,7.637626158259733,3,15.02387905052234,32.309454282811,16,7,31,32,17,53,32,17,53,Proportional,-8.333333333333332,FALSE
